Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),231,Ethiopia,16606320.439851282,10531089.82499516,0.2797874360169298,-3.4368064073206126,0.848653382708789,0.15178868328859507,-5.003960798367619e-13,0.9209838851529405,-11.604352113383582,22.01273113075849,2.708221024402801
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),233,Estonia,599.0062634446597,-4452.0,0.9999999999999987,6.142061065371597e-07,3.7010081535396114e-08,1.0,0.0,0.0,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),242,Fiji,386510.2187228163,481785.3036952764,0.29414555862842084,16.62362916641405,0.840151439546216,0.3156479401510288,7.700289292719708e-12,0.8272557402937566,-29.08368287542263,286.28679459296063,4.459059545404484
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),246,Finland,70.64804394514148,-77.35476190476766,0.6323584605824033,-0.2360132963390815,0.6063345111550196,0.6073413028974284,-1.0675267931101233e-12,0.626624845583521,-1.3038635091014334,2.3817318487385615,1.4253952929230256
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),250,France,10068.748667093601,35201.5,0.8198451340564357,0.0019892877640030524,0.42444654073695115,0.327227995414607,0.0,0.8202268006992901,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),262,Djibouti,79.07822322320148,96.15535714285693,0.047922902348624175,0.00028037796531825654,0.9757443813065879,0.0018631715066473875,-2.734914722196018e-13,0.9990679799159579,-121242.17777543036,441.5530700755856,203.58097214545526
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),268,Georgia,43.73296734412471,36.28422333333401,0.3697898368005661,0.001445964826382643,0.7938577726516468,0.016847864186514072,1.013320976722709e-12,0.9915402845136881,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),270,Gambia,51430.474371709206,72234.85021964734,-0.002500416953145068,1.528569452599581,1.001249427941482,1.5927786952585343e-05,1.9566451053708904e-14,0.9999920360748116,-8.739033744682715,124.92937822136291,2.685590626093638
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),275,State of Palestine,1644.3576392944424,3403.665239455062,0.5026897715079572,-0.6555480776222227,0.705202260696917,0.4236811163911536,4.80381914223053e-12,0.7591566923954806,-0.5759826667572623,-8.238918305131758,1.1074473144306092
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),288,Ghana,29022578.293834895,26016498.050047874,0.9999888590374262,-0.31918829872836324,0.003337808049275712,0.3915803423721853,-3.654051679711157e-12,0.7800126009416866,-1240.4872846286958,1196.6267655591405,18.652506491503704
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),296,Kiribati,14.909511416854476,-253.33333333333576,0.9999999999982212,5.7764742507850436e-05,1.333704402505437e-06,1.0,0.0,0.0,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),308,Grenada,2.0019999999999993,-107337.28571428545,0.9999908653764844,-0.2425531856000758,0.003022353969275532,0.89151391456685,0.0,0.3293722596594164,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),320,Guatemala,1645397.6971890987,483316.6247778833,0.9737773539368643,-25.92947367685026,0.16193407937533016,0.22936065520415339,-4.80098307202234e-12,0.877860663656737,-183.0021308079271,19.03951785904654,7.311848323491813
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),328,Guyana,34241.360905000016,-783561.9762136787,0.9732933889552445,35.283316406841294,0.16342157460003692,0.3563055186927502,-3.665568831159374e-12,0.8023057280782993,-376578.604421073,2671.222916803107,314.78482060580836
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),340,Honduras,176.00014293751534,-24601.741410488263,0.4724885407739098,-14.571028387631962,0.7262998411304314,0.12827317857890208,-1.5449467198869e-12,0.9336631198784161,-1.169952489043148,21.553884437359592,1.235831416996181
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),356,India,7154460.381199979,-248785731.59999847,0.700705266634267,-9.631310298079478,0.5470783612662202,0.7639127351473696,1.0391601479231517e-12,0.48588811968665213,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),360,Indonesia,5707425.227135994,3807177.860833347,0.34553163741932025,-29.989641448970595,0.8089921894435568,0.046836485677922646,7.565319679332122e-13,0.9763009343035974,-1011.0722756110765,406.5022755506153,17.25321470027072
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),364,Iran (Islamic Republic of),484561.8802391032,585085.2100135684,0.5744460374004097,-35.64567572390177,0.652344972081176,0.0560132194522619,-4.2836090158588544e-13,0.9715898211425117,-4.376764871582818,-94.74952801119362,2.318785214629164
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),368,Iraq,6520.500032043988,59745.193473193474,0.5348431103411104,0.0017887510052118814,0.682024112226899,0.00013245398967209887,7.969951065665041e-15,0.9999337708120114,-3.95272365810819,17.952282279183166,2.11793875808532
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),372,Ireland,2099.0,,,,,,,,,,
